profile,top_samples,top_tradeable_20d_rate,top_strong_or_deepv_rate,top_bad_path_rate,top_d1_mean,top_max20_mean,top_min20_mean
balanced,25,1.0,0.96,0.0,0.6896424166520839,1.2433872383184692,0.585534508984358
secondary_trade,77,1.0,0.922077922077922,0.0,0.8547113977865551,1.4503373841563258,0.6899823700804277
anti_break,11,1.0,0.9090909090909091,0.0,0.5292685729057256,0.9706079335954375,0.390538407804013
hot_market,68,1.0,0.9852941176470589,0.0,0.9274526764482526,1.5250552969828655,0.758198749945429
