score_bucket,样本数,首日均值,二十日最大均值,六十日最大均值,一八零日最大均值,二十日最小均值,交易成功率,强势或深V率,坏路径率,平均分
D,105,-0.12954134446201326,0.007634996671523603,0.09616109586897602,0.2963423804803408,-0.27717937221447536,0.11428571428571428,0.06666666666666667,0.7428571428571429,37.214285714285715
C,112,0.5491018134882688,0.9092747912251715,1.246097324673324,2.139068598349417,0.3547591967989235,0.875,0.48214285714285715,0.07142857142857142,59.104464285714286
B,25,0.6896424166520838,1.243387238318469,1.6730910573980233,2.8899490706283957,0.5855345089843581,1.0,0.96,0.0,66.896
A,0,,,,,,,,,
