code,name,listing_date,issue_price,quote_rows,quote_source,d1_close_ret,max_20_ret,min_20_ret,max_60_ret,min_60_ret,max_180_ret,min_180_ret,quote_status,path_label
1236.HK,乐动机器人,2026-05-11,26.36,2,yahoo,1.276176024279211,1.276176024279211,0.9575113229939716,1.276176024279211,0.9575113229939716,1.276176024279211,0.9575113229939716,partial,上市即强势
1187.HK,可孚医疗,2026-05-06,39.33,5,yahoo,-0.010933091129445516,-0.010933091129445516,-0.0750063293131138,-0.010933091129445516,-0.0750063293131138,-0.010933091129445516,-0.0750063293131138,partial,观察/无明显路径
1609.HK,天星医疗,2026-05-05,98.5,6,yahoo,1.1827411167512691,1.2172588212841058,1.024365420268877,1.2172588212841058,1.024365420268877,1.2172588212841058,1.024365420268877,partial,上市即强势
6810.HK,商米科技-W,2026-04-29,24.86,9,yahoo,2.411102294921875,2.411102294921875,1.9766693483507645,2.411102294921875,1.9766693483507645,2.411102294921875,1.9766693483507645,partial,上市即强势
1879.HK,曦智科技-P,2026-04-28,183.2,10,yahoo,3.8362445414847164,4.122816593886463,3.4432314410480354,4.122816593886463,3.4432314410480354,4.122816593886463,3.4432314410480354,ok,上市即强势
2493.HK,迈威生物-B,2026-04-28,27.64,1,yahoo,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,partial,观察/无明显路径
3296.HK,华勤技术,2026-04-23,77.7,13,yahoo,0.13256113256113244,0.5444015444015444,0.12998716926329235,0.5444015444015444,0.12998716926329235,0.5444015444015444,0.12998716926329235,ok,温和趋势
2476.HK,胜宏科技,2026-04-21,209.88,15,yahoo,0.5008576329331047,0.8705927487303013,0.4293882218410521,0.8705927487303013,0.4293882218410521,0.8705927487303013,0.4293882218410521,ok,上市即强势
0068.HK,群核科技,2026-04-17,7.62,17,yahoo,1.4409449319514076,4.09186341693708,1.4409449319514076,4.09186341693708,1.4409449319514076,4.09186341693708,1.4409449319514076,ok,上市即强势
3277.HK,长光辰芯,2026-04-17,39.88,17,yahoo,0.7552657973921764,1.4448345035105312,0.7552657973921764,1.4448345035105312,0.7552657973921764,1.4448345035105312,0.7552657973921764,ok,上市即强势
6656.HK,思格新能,2026-04-16,324.2,18,yahoo,1.0342381246144354,1.0342381246144354,0.6378778531770513,1.0342381246144354,0.633251079580506,1.0342381246144354,0.633251079580506,ok,上市即强势
0664.HK,铜师傅,2026-03-31,60.0,27,yahoo,-0.4916666666666667,-0.45100002288818364,-0.5723333358764648,-0.45100002288818364,-0.6523333231608073,-0.45100002288818364,-0.6523333231608073,ok,持续破发/弱势
3625.HK,傅里叶,2026-03-31,40.0,27,yahoo,1.0,2.7,1.0,2.7,1.0,2.7,1.0,ok,上市即强势
