code,latest_quote_date,latest_close,ma5,ma10,ma20,ma60,ma120,rsi14,macd_dif,macd_dea,macd_hist,boll_upper,boll_mid,boll_lower,kdj_k,kdj_d,kdj_j,kdj_signal,boll_signal,obv,obv_signal,mfi14,atr14,ret_20d,ret_60d,vol_ratio_20d,drawdown_from_listing_high,technical_score,technical_state,buy_trigger,sell_trigger,quote_rows_for_ta
2605.HK,2025-12-05,3.049999952316284,3.088000011444092,3.0869999885559083,3.115499997138977,3.72400000890096,4.752333323160808,40.68572562556902,-0.11848544337777911,-0.15167172450914773,0.06637256226273724,3.2625374584538736,3.115499997138977,2.9684625358240804,37.48103732404222,33.626093674634014,45.19092462285863,中性,BOLL中轨下方,-21285190.0,OBV未确认,38.53799477809785,0.13857141562870565,-0.00326797080073582,-0.3788187276779992,,-0.5752089101341911,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,124
2609.HK,2025-12-19,4.300000190734863,4.35600004196167,4.414000034332275,4.954000020027161,6.3378333568573,6.6630833347638445,24.05470914535462,-0.5553450430240794,-0.5558288588268909,0.000967631605623076,6.181087228517644,4.954000020027161,3.7269128115366787,15.547386837200598,13.539143703534924,19.563873104531947,KDJ低位观察,BOLL中轨下方,344205472.0,OBV未确认,17.014667684944698,0.28214280945914133,-0.25217387987219764,-0.5028901294373145,,-0.6720060790737881,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,126
2610.HK,2025-09-19,42.65999984741211,42.75600051879883,43.60400047302246,44.16900062561035,40.1776668548584,33.12341674168905,49.31460391484046,0.4018297135366211,0.9329138268166016,-1.062168226559961,47.54349315307677,44.16900062561035,40.794508098143936,18.809468892317703,22.99310078417215,10.44220510860881,KDJ低位观察,BOLL中轨下方,14688013.0,OBV未确认,43.06133925458478,3.2307145254952565,-0.03440471813635548,0.42199999491373696,,-0.11125000317891443,46,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,123
2613.HK,2025-07-08,24.100000381469727,24.220000076293946,24.520000076293947,25.010000038146973,26.838333384195963,28.38999999364217,36.94611070471504,-0.703003596249296,-0.6968816575579938,-0.012243877382604351,26.749812503154313,25.010000038146973,23.270187573139633,32.67788881580897,32.75630233407685,32.52106177927321,中性,BOLL中轨下方,-650000.0,OBV未确认,51.30334796763278,0.6142858777727395,-0.07662835137044455,-0.14081992738067373,,-0.2869822211402627,38,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,120
2617.HK,2025-12-19,163.89999389648438,160.77999877929688,165.29999847412108,181.26000061035157,178.07333437601724,122.84191714922586,42.41832724419819,-8.5040080551843,-5.920338364825846,-5.167339380716909,218.29105350130254,181.26000061035157,144.2289477194006,37.18087738990719,26.42921097011844,58.68421022948469,中性,BOLL中轨下方,66721489.0,OBV未确认,53.03332330245874,13.550000871930802,-0.19892478491148924,-0.007268395897446878,,-0.605060255671122,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,126
2619.HK,2025-12-22,2.2799999713897705,2.0800000190734864,1.9880000114440919,1.8969999969005584,1.889999997048151,1.889999997048151,83.49081862813688,0.09310443986744144,0.05611876532903183,0.07397134907681921,2.175197219483321,1.8969999969005584,1.6188027743177957,83.68439306110423,78.06403819549868,94.92510279231533,中性,BOLL上轨突破,5271030.0,OBV资金确认,94.27031369813122,0.099999989782061,0.3028571265084403,,,0.0,63,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,21
2621.HK,2025-11-26,3.9800000190734863,3.8359999656677246,3.849999952316284,3.8634999871253966,4.1413333455721535,4.523833328485489,54.590636733505676,-0.05232552338936314,-0.07498886396422713,0.04532668114972799,3.975001777357617,3.8634999871253966,3.751998196893176,52.203063782571405,35.843156128610474,84.92287909049327,中性,BOLL上轨突破,-7396360.0,OBV资金确认,67.69212032107973,0.08142861298152382,0.002518889267302482,-0.17768597239704065,,-0.3978820062508228,31,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,125
2625.HK,2025-09-26,5.800000190734863,4.502000141143799,4.2680001020431515,3.9885000586509705,3.1421666741371155,3.023666661977768,85.29974385054136,0.4288077774950856,0.325533404421934,0.20654874614630314,5.223503214056763,3.9885000586509705,2.7534969032451775,74.01711807711926,64.18759674062575,93.67616075010628,中性,BOLL上轨突破,8387520.0,OBV资金确认,82.37817157413564,0.3192856652396066,1.0209060703864838,1.0863310253328318,,0.0,63,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,124
2627.HK,2026-02-06,46.68000030517578,46.77599945068359,48.39299964904785,47.761999893188474,43.09166666666667,45.06541674931844,50.95184431079562,1.12572389499811,1.7039693731931238,-1.1564909563900274,53.86138886451418,47.761999893188474,41.662610921862765,36.75175000493813,47.09823551056006,16.058778993694276,中性,BOLL中轨下方,7446502.0,OBV资金确认,41.025102588153125,2.9142856597900395,0.1385365928091653,0.1571641082946591,,-0.12747662980979846,46,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,124
2629.HK,2025-11-19,53.900001525878906,57.44000015258789,60.275000381469724,62.90499992370606,59.18916657765706,46.09566671053569,32.74201228501829,-1.8257944549604304,-0.32709294855004545,-2.9974030128207696,70.93513280050769,62.90499992370606,54.87486704690443,17.801905072385658,18.921039009302174,15.563637198552627,KDJ低位观察,BOLL下轨弱势/反弹观察,39590150.0,OBV未确认,29.047824676633454,4.089287076677597,-0.20735291873707495,0.1763422497789191,,-0.2745625933779322,42,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,125
2630.HK,2026-05-05,73.6500015258789,74.20999908447266,78.0,82.16750030517578,98.89416694641113,88.84831927002979,31.917797095619576,-6.164182897984176,-5.800133355576299,-0.7280990848157547,92.89313576154476,82.16750030517578,71.4418648488068,13.418210578603748,16.742218498255568,6.770194739300109,KDJ低位观察,BOLL中轨下方,1163264.0,OBV未确认,19.510018080050074,3.9142853873116628,-0.12529686228906123,-0.25942680959347497,,-0.4377862478940542,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,119
2631.HK,2026-02-16,57.09999847412109,58.7,58.670000076293945,60.41999969482422,59.3458335240682,55.826916758219404,44.42559462707619,-0.7618208533191222,-0.48778770527190046,-0.5480662960944435,68.68236788777249,60.41999969482422,52.157631501875954,45.13837299628426,55.19993922941973,25.015240530013315,中性,BOLL中轨下方,66495380.0,OBV未确认,44.092231807364435,3.3035719735281814,-0.1730630564734278,0.1397205631376579,,-0.18136202904485899,46,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,123
2632.HK,2026-05-12,119.5,113.13999938964844,99.65499954223633,86.75000019073487,70.83875006437302,70.83875006437302,84.81284328365815,17.47468055480286,14.861001413018228,5.227358283569263,125.70284554921314,86.75000019073487,47.797154832256595,92.62191571413435,87.13703818025871,103.59167078188563,KDJ高位钝化,BOLL中轨上方,4835510.0,OBV资金确认,75.10168514730046,11.107142857142861,1.6183173005717366,,,-0.004166666666666652,68,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,32
2635.HK,2026-05-12,19.8799991607666,19.246000289916992,22.18300018310547,36.78750019073486,45.85583343505859,44.42648348965488,31.159729824341085,-9.122146343442278,-7.4329365098969085,-3.378419667090739,72.2497327411042,36.78750019073486,1.3252676403655244,13.52084852283101,8.114547678536976,24.333450211419077,KDJ低位观察,BOLL中轨下方,-8874889.0,OBV未确认,33.816152882163394,5.011428696768625,-0.6664429585615057,-0.6124756441242842,,-0.7097810341493926,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,91
2637.HK,2026-04-17,195.1999969482422,188.43999938964845,188.9,167.73500061035156,150.5866663614909,140.21512590937255,65.47277267435922,13.01454626885183,11.012262064861519,4.004568407980624,214.2043330915817,167.73500061035156,121.26566812912142,65.53668032063867,69.40383609557529,57.80236877076544,中性,BOLL中轨上方,7080410.0,OBV资金确认,75.038400515292,13.7999997820173,0.3756166690933054,0.2520846991043022,,-0.052427199280377756,74,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,119
2643.HK,2025-12-22,31.100000381469727,31.288000106811523,38.06900005340576,42.9024998664856,47.360166517893475,51.22391667366028,27.464845032149498,-4.684232580981686,-2.8802758071061065,-3.607913547751158,58.33239538497364,42.9024998664856,27.47260434799756,8.702624122195152,12.525094527090976,1.0576833124035012,KDJ低位观察,BOLL中轨下方,5650071.0,OBV未确认,33.6141252120873,3.9464287076677596,-0.35343032498842497,-0.40648855962131414,,-0.6275449056111411,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,125
